Tiempo,Q_DEEN,Caudal BPIL
26100,148.181,173.424
26200,147.927,173.142
26300,147.672,172.861
26400,147.416,172.579
26500,147.159,172.298
26600,146.902,172.016
26700,146.644,171.735
26800,146.386,171.453
26900,146.127,171.171
27000,145.869,170.889
27100,145.611,170.608
27200,145.353,170.325
27300,145.095,170.043
27400,144.841,169.76
27500,144.584,169.477
27600,144.325,169.194
27700,144.067,168.91
27800,143.809,168.627
27900,143.552,168.343
28000,143.296,168.058
28100,143.041,167.774
28200,142.787,167.49
28300,142.534,167.207
28400,142.282,166.923
28500,142.031,166.64
28600,141.782,166.357
28700,141.534,166.075
28800,141.287,165.794
28900,141.041,165.513
29000,140.796,165.232
29100,140.551,164.953
29200,140.307,164.674
29300,140.064,164.395
29400,139.823,164.118
29500,139.582,163.84
29600,139.342,163.564
29700,139.103,163.288
29800,138.866,163.013
29900,138.629,162.739
30000,138.393,162.465
30100,138.158,162.192
30200,137.923,161.92
30300,137.69,161.648
30400,137.457,161.378
30500,137.225,161.107
30600,136.993,160.838
30700,136.762,160.569
30800,136.532,160.3
30900,136.302,160.032
31000,136.073,159.765
31100,135.844,159.499
31200,135.616,159.233
31300,135.388,158.968
31400,135.16,158.704
31500,134.933,158.441
31600,134.706,158.179
31700,134.479,157.917
31800,134.253,157.657
31900,134.027,157.397
32000,133.801,157.139
32100,133.575,156.881
32200,133.35,156.624
32300,133.124,156.367
32400,132.899,156.112
32500,132.674,155.857
32600,132.45,155.604
32700,132.225,155.35
32800,132.001,155.098
32900,131.777,154.846
33000,131.553,154.595
33100,131.329,154.345
33200,131.106,154.095
33300,130.882,153.846
33400,130.66,153.597
33500,130.437,153.349
33600,130.214,153.102
33700,129.992,152.855
33800,129.77,152.608
33900,129.549,152.362
34000,129.327,152.116
34100,129.106,151.871
34200,128.885,151.625
34300,128.665,151.381
34400,128.445,151.136
34500,128.225,150.892
34600,128.005,150.648
34700,127.786,150.405
34800,127.567,150.161
34900,127.348,149.918
35000,127.13,149.676
35100,126.912,149.433
35200,126.694,149.191
35300,126.477,148.948
35400,126.26,148.706
35500,126.043,148.465
35600,125.827,148.223
35700,125.61,147.982
35800,125.395,147.741
35900,125.179,147.5
36000,124.964,147.259
36100,124.749,147.019
36200,124.535,146.778
36300,124.32,146.538
36400,124.106,146.299
36500,123.893,146.059
36600,123.679,145.82
36700,123.466,145.58
36800,123.253,145.341
36900,123.041,145.103
37000,122.828,144.864
37100,122.616,144.626
37200,122.405,144.388
37300,122.193,144.15
37400,121.982,143.912
37500,121.771,143.674
37600,121.56,143.437
37700,121.35,143.2
37800,121.139,142.963
37900,120.929,142.726
38000,120.72,142.49
38100,120.51,142.254
38200,120.301,142.018
38300,120.092,141.782
38400,119.883,141.546
38500,119.675,141.311
38600,119.466,141.076
38700,119.258,140.841
38800,119.05,140.607
38900,118.843,140.372
39000,118.635,140.138
39100,118.428,139.905
39200,118.221,139.671
39300,118.014,139.438
39400,117.807,139.205
39500,117.601,138.972
39600,117.395,138.74
39700,117.189,138.508
39800,116.983,138.276
39900,116.778,138.044
40000,116.572,137.813
40100,116.367,137.582
40200,116.162,137.351
40300,115.958,137.121
40400,115.753,136.89
40500,115.549,136.66
40600,115.345,136.431
40700,115.141,136.201
40800,114.938,135.972
40900,114.734,135.743
41000,114.531,135.514
41100,114.328,135.286
41200,114.126,135.058
41300,113.923,134.83
41400,113.721,134.602
41500,113.519,134.374
41600,113.318,134.147
41700,113.116,133.92
41800,112.915,133.694
41900,112.714,133.467
42000,112.513,133.241
42100,112.313,133.015
42200,112.112,132.789
42300,111.912,132.564
42400,111.713,132.339
42500,111.513,132.114
42600,111.314,131.889
42700,111.115,131.665
42800,110.916,131.441
42900,110.717,131.217
43000,110.519,130.993
43100,110.321,130.77
43200,110.123,130.547
43300,109.925,130.324
43400,109.728,130.101
43500,109.53,129.879
43600,109.334,129.656
43700,109.137,129.434
43800,108.94,129.213
43900,108.744,128.991
44000,108.548,128.77
44100,108.352,128.549
44200,108.157,128.329
44300,107.962,128.108
44400,107.767,127.888
44500,107.572,127.668
44600,107.377,127.448
44700,107.183,127.229
44800,106.989,127.01
44900,106.795,126.791
45000,106.601,126.572
45100,106.408,126.354
45200,106.215,126.136
45300,106.022,125.918
45400,105.829,125.7
45500,105.637,125.483
45600,105.445,125.266
45700,105.253,125.049
45800,105.061,124.832
45900,104.869,124.616
46000,104.678,124.4
46100,104.487,124.184
46200,104.296,123.968
46300,104.106,123.753
46400,103.915,123.538
46500,103.725,123.323
46600,103.535,123.108
46700,103.346,122.894
46800,103.156,122.68
46900,102.967,122.466
47000,102.778,122.252
47100,102.589,122.039
47200,102.4,121.826
47300,102.212,121.613
47400,102.024,121.401
47500,101.836,121.188
47600,101.649,120.976
47700,101.461,120.764
47800,101.274,120.553
47900,101.087,120.341
48000,100.9,120.13
48100,100.714,119.92
48200,100.527,119.709
48300,100.341,119.499
48400,100.155,119.289
48500,99.9698,119.079
48600,99.7844,118.869
48700,99.5992,118.66
48800,99.4142,118.451
48900,99.2295,118.242
49000,99.045,118.033
49100,98.8607,117.825
49200,98.6766,117.617
49300,98.4928,117.409
49400,98.3091,117.202
49500,98.1257,116.994
49600,97.9425,116.787
49700,97.7596,116.58
49800,97.5768,116.374
49900,97.3943,116.167
50000,97.212,115.961
50100,97.0299,115.755
50200,96.848,115.55
50300,96.6664,115.344
50400,96.485,115.139
50500,96.3037,114.934
50600,96.1227,114.73
50700,95.942,114.525
50800,95.7614,114.321
50900,95.5811,114.117
51000,95.4009,113.913
51100,95.221,113.71
51200,95.0413,113.507
51300,94.8618,113.304
51400,94.6825,113.101
51500,94.5035,112.898
51600,94.3246,112.696
51700,94.146,112.494
51800,93.9676,112.292
51900,93.7894,112.091
52000,93.6114,111.889
52100,93.4336,111.688
52200,93.2561,111.487
52300,93.0787,111.287
52400,92.9015,111.086
52500,92.7246,110.886
52600,92.5479,110.686
52700,92.3714,110.487
52800,92.195,110.287
52900,92.0189,110.088
53000,91.843,109.889
53100,91.6674,109.69
53200,91.4919,109.492
53300,91.3166,109.293
53400,91.1415,109.095
53500,90.9667,108.898
53600,90.792,108.7
53700,90.6176,108.503
53800,90.4433,108.306
53900,90.2693,108.109
54000,90.0954,107.912
54100,89.9218,107.716
54200,89.7484,107.519
54300,89.5751,107.323
54400,89.4021,107.128
54500,89.2293,106.932
54600,89.0566,106.737
54700,88.8842,106.542
54800,88.712,106.347
54900,88.54,106.152
55000,88.3681,105.958
55100,88.1965,105.764
55200,88.0251,105.57
55300,87.8539,105.376
55400,87.6828,105.183
55500,87.512,104.989
55600,87.3414,104.796
55700,87.171,104.604
55800,87.0007,104.411
55900,86.8307,104.219
56000,86.6608,104.026
56100,86.4912,103.834
56200,86.3217,103.643
56300,86.1525,103.451
56400,85.9834,103.26
56500,85.8145,103.069
56600,85.6458,102.878
56700,85.4774,102.688
56800,85.3091,102.497
56900,85.141,102.307
57000,84.9731,102.117
57100,84.8054,101.927
57200,84.6378,101.738
57300,84.4705,101.548
57400,84.3034,101.359
57500,84.1364,101.17
57600,83.9696,100.982
57700,83.8031,100.793
57800,83.6367,100.605
57900,83.4705,100.417
58000,83.3045,100.229
58100,83.1387,100.042
58200,82.973,99.8543
58300,82.8075,99.6671
58400,82.6423,99.4801
58500,82.4771,99.2933
58600,82.3122,99.1067
58700,82.1474,98.9202
58800,81.9827,98.7339
58900,81.8183,98.5478
59000,81.6539,98.3619
59100,81.4898,98.1761
59200,81.3258,97.9905
59300,81.1619,97.805
59400,80.9983,97.6198
59500,80.8348,97.4347
59600,80.6715,97.2497
59700,80.5084,97.065
59800,80.3454,96.8804
59900,80.1826,96.6961
60000,80.02,96.5119
60100,79.8576,96.3279
